value	form	character	language
LAK797	A	𒀀	sux
MZL839	A	𒀀	sux
)u4	A	𒀀	sux
a	A	𒀀	sux
aia2	A	𒀀	sux
aya2	A	𒀀	sux
barx	A	𒀀	sux
bunijx	A	𒀀	sux
burx	A	𒀀	sux
dur5	A	𒀀	sux
duru5	A	𒀀	sux
e4	A	𒀀	sux
ea	A	𒀀	sux
ebir3	A	𒀀	sux
emx	A	𒀀	sux
epir3	A	𒀀	sux
ec10	A	𒀀	sux
ja10	A	𒀀	sux
ia10	A	𒀀	sux
id5	A	𒀀	sux
me5	A	𒀀	sux
mu14	A	𒀀	sux
sedx	A	𒀀	sux
cegx	A	𒀀	sux
tur5	A	𒀀	sux
ya10	A	𒀀	sux
ai	|A.A|	𒀀𒀀	sux
aia	|A.A|	𒀀𒀀	sux
aya	|A.A|	𒀀𒀀	sux
aye	|A.A|	𒀀𒀀	sux
ayi	|A.A|	𒀀𒀀	sux
ayu	|A.A|	𒀀𒀀	sux
ayya	|A.A|	𒀀𒀀	sux
ayye	|A.A|	𒀀𒀀	sux
ayyi	|A.A|	𒀀𒀀	sux
ayyu	|A.A|	𒀀𒀀	sux
iya	|A.A|	𒀀𒀀	sux
iyi	|A.A|	𒀀𒀀	sux
iyu	|A.A|	𒀀𒀀	sux
iyya	|A.A|	𒀀𒀀	sux
iyyi	|A.A|	𒀀𒀀	sux
iyyu	|A.A|	𒀀𒀀	sux
yax	|A.A|	𒀀𒀀	sux
ayayax	|A.A.A|	𒀀𒀀𒀀	sux
a4	|A.AN|	𒀀𒀭	sux
am3	|A.AN|	𒀀𒀭	sux
ce7	|A.AN|	𒀀𒀭	sux
ceg3	|A.AN|	𒀀𒀭	sux
cej3	|A.AN|	𒀀𒀭	sux
cemx	|A.AN|	𒀀𒀭	sux
a-ra2	|A.DU|	𒀀𒁺	sux
tuce	|A.DU|	𒀀𒁺	sux
tuccuru	|A.DU|	𒀀𒁺	sux
eribx	|A.EDIN|	𒀀𒂔	sux
eru4	|A.EDIN|	𒀀𒂔	sux
erua	|A.EDIN|	𒀀𒂔	sux
erum4	|A.EDIN|	𒀀𒂔	sux
ummux	|A.EDIN|	𒀀𒂔	sux
ummudx	|A.EDIN|	𒀀𒂔	sux
ummu3	|A.EDIN.LAL|	𒀀𒂔𒇲	sux
ummud	|A.EDIN.LAL|	𒀀𒂔𒇲	sux
ummu~b	|A.EDIN.A.LAL|	𒀀𒂔𒀀𒇲	sux
ummux~c	|A.U.EDIN.LAL|	𒀀𒌋𒂔𒇲	sux
ummudx~c	|A.U.EDIN.LAL|	𒀀𒌋𒂔𒇲	sux
ummux~d	|EDIN.A|	𒂔𒀀	sux
ummux~e	|EDIN.A.LAL|	𒂔𒀀𒇲	sux
ummux~f	|EDIN.LAL.A|	𒂔𒇲𒀀	sux
ugar	|A.GAR₃|	𒀀𒃼	sux
a-gar3	|A.GAR₃|	𒀀𒃼	sux
adar	|A.GUD×KUR|	𒀀𒄠	sux
ildagx	|A.GUD×KUR|	𒀀𒄠	sux
kuar2	|A.HA|	𒀀𒄩	sux
kuara2	|A.HA|	𒀀𒄩	sux
[...]ri	|A.HA|	𒀀𒄩	sux
sahx	|A.HA|	𒀀𒄩	sux
tuba2	|A.HA|	𒀀𒄩	sux
zahx	|A.HA|	𒀀𒄩	sux
sahx	|A.HA.A|	𒀀𒄩𒀀	sux
zahx	|A.HA.A|	𒀀𒄩𒀀	sux
girim3	|A.HA.TAR.DU|	𒀀𒄩𒋻𒁺	sux
girima3	|A.HA.TAR.DU|	𒀀𒄩𒋻𒁺	sux
girimma3	|A.HA.TAR.DU|	𒀀𒄩𒋻𒁺	sux
girin2	|A.HA.TAR.DU|	𒀀𒄩𒋻𒁺	sux
nun2	|A.HA.TAR.DU|	𒀀𒄩𒋻𒁺	sux
liq3	|A.HU.SI|	𒀀𒄷𒋛	sux
er2	|A.IGI|	𒀀𒅆	sux
era2	|A.IGI|	𒀀𒅆	sux
esec	|A.IGI|	𒀀𒅆	sux
esic3	|A.IGI|	𒀀𒅆	sux
ec9	|A.IGI|	𒀀𒅆	sux
ir2	|A.IGI|	𒀀𒅆	sux
ira2	|A.IGI|	𒀀𒅆	sux
isic2	|A.IGI|	𒀀𒅆	sux
cecx	|A.IGI|	𒀀𒅆	sux
uga2	|A.KA|	𒀀𒅗	sux
ugu2	|A.KA|	𒀀𒅗	sux
ela	|A.KAL|	𒀀𒆗	sux
ella	|A.KAL|	𒀀𒆗	sux
illu	|A.KAL|	𒀀𒆗	sux
akcak2	|A.KUŠU₂|	𒀀𒆵	sux
enigin	|A.LAGAB.LAGAB|	𒀀𒆸𒆸	sux
bunijx	|A.LAGAB×A|	𒀀𒆹	sux
buninx	|A.LAGAB×A|	𒀀𒆹	sux
ix	|A.LAGAB×A|	𒀀𒆹	sux
i7	|A.LAGAB×HAL|	𒀀𒇉	sux
id2	|A.LAGAB×HAL|	𒀀𒇉	sux
ida2	|A.LAGAB×HAL|	𒀀𒇉	sux
it2	|A.LAGAB×HAL|	𒀀𒇉	sux
ita5	|A.LAGAB×HAL|	𒀀𒇉	sux
iti5	|A.LAGAB×HAL|	𒀀𒇉	sux
itu5	|A.LAGAB×HAL|	𒀀𒇉	sux
ix~a	|A.LAGAB×A|	𒀀𒆹	sux
id7	|A.LAGAB×HAL.DI|	𒀀𒇉𒁲	sux
id6	|A.LAGAB×HAL.GAL|	𒀀𒇉𒃲	sux
azadx	|A.LAGAB×HAL.ŠU₂|	𒀀𒇉𒋙	sux
azadx	|A.LAGAB×HAL.X|	𒀀𒇉░░	sux
darengal	|A.LAGAB×HAL.UD.NUN.KI|	𒀀𒇉𒌓𒉣𒆠	sux
icuruengal	|A.LAGAB×HAL.UD.NUN.KI|	𒀀𒇉𒌓𒉣𒆠	sux
surengal	|A.LAGAB×HAL.UD.NUN.KI|	𒀀𒇉𒌓𒉣𒆠	sux
surgal	|A.LAGAB×HAL.UD.NUN.KI|	𒀀𒇉𒌓𒉣𒆠	sux
turungal	|A.LAGAB×HAL.UD.NUN.KI|	𒀀𒇉𒌓𒉣𒆠	sux
esir	|A.LAGAB×KUL|	𒀀𒇒	sux
ecer	|A.LAGAB×KUL|	𒀀𒇒	sux
kuninx	|A.LAGAB×KUL|	𒀀𒇒	sux
sarx	|A.LAGAB×KUL|	𒀀𒇒	sux
arinax	|A.LU₂@s.NA|	𒀀𒈕𒈾	sux
a-rin4-na	|A.LU₂@s.NA|	𒀀𒈕𒈾	sux
a-gar5	|A.LU₃|	𒀀𒈖	sux
kunigara5	|A.LU₃|	𒀀𒈖	sux
aslumx	|A.LUM|	𒀀𒈝	sux
ega	|A.MI.A|	𒀀𒈪𒀀	sux
cex	|A.MUŠ|	𒀀𒈲	sux
a)u)u	|A.PA.GISAL.PAD.SI.A|	𒀀𒉺𒄐𒉻𒋛𒀀	sux
addir	|A.PA.GISAL.PAD.SI.A|	𒀀𒉺𒄐𒉻𒋛𒀀	sux
au	|A.PA.GISAL.PAD.SI.A|	𒀀𒉺𒄐𒉻𒋛𒀀	sux
iddir	|A.PA.GISAL.PAD.SI.A|	𒀀𒉺𒄐𒉻𒋛𒀀	sux
samanx	|A.PA.GISAL.PAD.SI.A|	𒀀𒉺𒄐𒉻𒋛𒀀	sux
samanx	|A.PA.BI.SI.A.GA|	𒀀𒉺𒁉𒋛𒀀𒂵	sux
ugu3	|A.SAG|	𒀀𒊕	sux
epigx	|A.SIG|	𒀀𒋝	sux
aktum	|A.SU|	𒀀𒋢	sux
bir8	|A.SUD|	𒀀𒋤	sux
kacbirx	|A.SUD|	𒀀𒋤	sux
tu17	|A.ŠU.NAGA|	𒀀𒋗𒉀	sux
ceg4	|A.ŠU₂.NAGA|	𒀀𒋙𒉀	sux
ebla	|A.TAR.A.AN|	𒀀𒋻𒀀𒀭	sux
asi	|A.ŠE.NUN&NUN|	𒀀𒊺𒉪	sux
eca	|A.ŠE.NUN&NUN|	𒀀𒊺𒉪	sux
ece4	|A.ŠE.NUN&NUN|	𒀀𒊺𒉪	sux
asal2	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	sux
asar2	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	sux
acalx	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	sux
acar2	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	sux
azalx	|A.TU.GABA.LIŠ|	𒀀𒌅𒃮𒇺	sux
LAK212~a	ASAL₂	𒀷	sux
edamu	|A.TUR|	𒀀𒌉	sux
ugux	|A.U.KA|	𒀀𒌋𒅗	sux
ackudx	|A.ZA.AN.MUŠ₃|	𒀀𒍝𒀭𒈹	sux
ackix	|A.ZI&ZI|	𒀀𒍤	sux
ginx	|A.ZI&ZI|	𒀀𒍤	sux
gugx	|A.ZI&ZI|	𒀀𒍤	sux
lamahucx	|A.ZI&ZI|	𒀀𒍤	sux
mudx	|A.ZI&ZI|	𒀀𒍤	sux
numunx	|A.ZI&ZI|	𒀀𒍤	sux
suluhux	|A.ZI&ZI|	𒀀𒍤	sux
cubx	|A.ZI&ZI|	𒀀𒍤	sux
/cumun/	|A.ZI&ZI|	𒀀𒍤	sux
zukumx	|A.ZI&ZI|	𒀀𒍤	sux
aya2-aya2	|A×A|	𒀁	sux
edur	|A×A|	𒀁	sux
eduru	|A×A|	𒀁	sux
agam	|A×BAD|	𒀂	sux
LAK800	|A×GAN₂@t|	𒀃	sux
LAK796	|A×HA|	𒀄	sux
sah7	|A×HA|	𒀄	sux
saha7	|A×HA|	𒀄	sux
zah3	|A×HA|	𒀄	sux
zaha3	|A×HA|	𒀄	sux
er6	|A×IGI|	𒀅	sux
ir6	|A×IGI|	𒀅	sux
isic3	|A×IGI|	𒀅	sux
cec3	|A×IGI|	𒀅	sux
cedu3	|A×LAGAR@g|	𒀆	sux
amuc	|A×MUŠ|	𒀇	sux
amuca	|A×MUŠ|	𒀇	sux
emuc	|A×MUŠ|	𒀇	sux
esag	|A×SAG|	𒀈	sux
esaj	|A×SAG|	𒀈	sux
LAK140	A₂	𒀉	sux
MZL560	A₂	𒀉	sux
a2	A₂	𒀉	sux
ah5	A₂	𒀉	sux
ahi2	A₂	𒀉	sux
ed	A₂	𒀉	sux
et	A₂	𒀉	sux
et	A₂	𒀉	sux
id	A₂	𒀉	sux
idi2	A₂	𒀉	sux
it	A₂	𒀉	sux
it	A₂	𒀉	sux
te8	A₂	𒀉	sux
ti8	A₂	𒀉	sux
liri5	|A₂.AŠ|	𒀉𒀸	sux
liru5	|A₂.AŠ|	𒀉𒀸	sux
lirum5	|A₂.AŠ|	𒀉𒀸	sux
arhuc7	|A₂.GA₂×SAL|	𒀉𒃣	sux
liri4	|A₂.KAL|	𒀉𒆗	sux
liru4	|A₂.KAL|	𒀉𒆗	sux
lirum4	|A₂.KAL|	𒀉𒆗	sux
usu	|A₂.KAL|	𒀉𒆗	sux
uccux	|A₂.KAL|	𒀉𒆗	sux
ackud2	|A₂.MUŠ₃|	𒀉𒈹	sux
ackud	|A₂.MUŠ₃@g|	𒀉𒈽	sux
azag2	|A₂.PA|	𒀉𒉺	sux
arhuc6	|A₂.SAL|	𒀉𒊩	sux
arhuc5	|A₂.TUR|	𒀉𒌉	sux
acita	|A₂.U.KID|	𒀉𒌋𒆤	sux
acte	|A₂.U.KID|	𒀉𒌋𒆤	sux
ehe	|A₂.UD.DU|	𒀉𒌓𒁺	sux
ehi	|A₂.UD.DU|	𒀉𒌓𒁺	sux
ackudx	|A₂.ZA.MUŠ₃@g|	𒀉𒍝𒈽	sux
MZL635	ALEPH	𒀪	sux
)	ALEPH	𒀪	sux
)a	ALEPH	𒀪	sux
)e	ALEPH	𒀪	sux
)i	ALEPH	𒀪	sux
)u	ALEPH	𒀪	sux
a)	ALEPH	𒀪	sux
ah4	ALEPH	𒀪	sux
e)	ALEPH	𒀪	sux
eh2	ALEPH	𒀪	sux
i)	ALEPH	𒀪	sux
ih2	ALEPH	𒀪	sux
u)	ALEPH	𒀪	sux
uh5	ALEPH	𒀪	sux
umun4	ALEPH	𒀪	sux
MZL223	AB	𒀊	sux
LAK536	AB	𒀊	sux
ab	AB	𒀊	sux
aba	AB	𒀊	sux
abba	AB	𒀊	sux
agarinx	AB	𒀊	sux
ap	AB	𒀊	sux
acx	AB	𒀊	sux
eri12	AB	𒀊	sux
es3	AB	𒀊	sux
esa3	AB	𒀊	sux
ec3	AB	𒀊	sux
eca3	AB	𒀊	sux
ecex	AB	𒀊	sux
es,3	AB	𒀊	sux
ez3	AB	𒀊	sux
giraba	AB	𒀊	sux
iri12	AB	𒀊	sux
is3	AB	𒀊	sux
ic7	AB	𒀊	sux
is,3	AB	𒀊	sux
iz3	AB	𒀊	sux
unu5	AB	𒀊	sux
girabax	|AB.HA@g|	𒀊𒄫	sux
essadu	|AB.HA.ZAG.GABA.HU|	𒀊𒄩𒍠𒃮𒄷	sux
ecsadu	|AB.HA.ZAG.GABA.HU|	𒀊𒄩𒍠𒃮𒄷	sux
sugal6	|AB.MUŠ₃|	𒀊𒈹	sux
zabala6	|AB.MUŠ₃|	𒀊𒈹	sux
zabalam6	|AB.MUŠ₃|	𒀊𒈹	sux
absin2	|AB.NAM|	𒀊𒉆	sux
LAK540	|AB×AŠ₂|	𒀋	sux
